sqrt_TW_freq,theta,theta_sigma,amp,amp_sigma
4.472043404362261,-2.8631788690045306,0.00017523603187544843,0.00014529064356,1.8275750000000144e-07
8.48526481519581,-3.1338650069987666,0.2256139007738867,7.551411787666666e-05,3.756881186326936e-05
11.31389340412928,2.6209767590905324,0.07849482186572199,2.41295752858e-05,6.050416035213822e-06
14.352398959755822,2.395951623603539,0.11588086481620549,1.295375022915e-05,3.162137545849999e-06
16.97073762893057,1.9748487305101485,0.2116484164012968,9.66580728365e-06,3.0924798013500003e-06
19.79857608799178,1.8096743348826354,0.20238509731580567,4.31787109392e-06,1.0214630300450556e-06
22.627307753022674,2.2036588761510965,1.4901161193847656e-08,4.7313501454e-06,0.0
25.455815350524524,1.9468593068801963,0.0,3.6283754525e-06,0.0
28.390049375881684,-3.104710413224763,1.5771133631234024,2.78355105365e-06,1.4251773485491479e-06
31.11253260440236,-2.320571514864224,0.0,7.6021831319e-07,0.0
33.94092840627669,-0.2557600743077003,2.0706040305233375,1.7914527120480002e-06,5.137416945898398e-07
